x,y,z
0,60.0,0
1.34,57.67,0
2.88,55.01,0
4.22,52.69,0
5.76,50.03,0
7.29,47.37,0
8.64,45.04,0
10.17,42.38,0
11.52,40.05,0
13.05,37.4,0
14.59,34.74,0
15.93,32.41,0
17.47,29.75,0
19.0,27.09,0
19.01,27.07,0
19.81,25.79,0
20.51,24.8,0
21.31,23.79,0
22.01,22.99,0
23.51,21.5,0
24.31,20.81,0
25.71,19.74,0
27.21,18.76,0
28.71,17.94,0
30.21,17.25,0
31.71,16.69,0
33.21,16.24,0
34.71,15.9,0
36.21,15.66,0
37.71,15.52,0
39.11,15.48,0
39.11,15.48,0
40.35,15.6,0
41.53,15.97,0
43.54,17.07,0
44.88,17.82,0
46.22,18.55,0
47.75,19.37,0
49.08,20.07,0
50.42,20.75,0
51.95,21.51,0
53.29,22.16,0
54.62,22.79,0
55.96,23.4,0
57.49,24.08,0
58.83,24.66,0
60.17,25.23,0
61.69,25.85,0
63.03,26.38,0
64.37,26.9,0
65.71,27.39,0
67.24,27.94,0
68.57,28.41,0
69.91,28.85,0
71.44,29.34,0
72.78,29.76,0
74.11,30.15,0
75.64,30.59,0
76.98,30.95,0
78.32,31.29,0
79.65,31.62,0
81.18,31.98,0
82.52,32.28,0
83.86,32.55,0
85.39,32.85,0
86.72,33.1,0
88.06,33.33,0
89.4,33.54,0
90.93,33.76,0
92.26,33.94,0
93.6,34.1,0
95.13,34.27,0
96.47,34.4,0
97.81,34.51,0
99.3,34.6,0
